"﻿""SKU""",Товар,"Единица измерения",Цена
sku_141a3116,"Свет-к с/д (потолочный) СЛЛ 023 30Вт 6К Звезда (375*100) (10), LEEK",RUB,1246.50
sku_268c1695,"Свет-к с/д (потолочный) СЛЛ 026 30Вт 6К Фаворит (375*100) (10), LEEK",RUB,1246.50
sku_7f4df734,"Свет-к с/д (потолочный) СЛЛ 027 12Вт 6K Бриз CN (233x76) (10),",RUB,523.50
sku_cb455d34,"Свет-к с/д (потолочный) СЛЛ 027 18Вт 6К Бриз (260x80) (10), LEEK",RUB,769.50
sku_f41893cc,"Свет-к с/д (потолочный) СЛЛ 027 20Вт 6К Бриз (260x80) (10), LEEK",RUB,583.50
sku_847ad00c,"Свет-к с/д (потолочный) СЛЛ 027 24Вт 6К Бриз (325x90) (10),",RUB,1015.50
sku_0b266be4,"Свет-к с/д (потолочный) СЛЛ 027 28Вт 6К Бриз (325x90) (10), LEEK",RUB,873.00
sku_74158735,"Свет-к с/д (потолочный) СЛЛ 027 30Вт 6К Бриз (375x100) (10), LEEK",RUB,1246.50
sku_a95c02b4,"Свет-к с/д (потолочный) СЛЛ 027 36Вт 6К Бриз (375x100) (10), LEEK",RUB,1021.50
sku_8e80dc8c,"Свет-к с/д (потолочный) СЛЛ 027 48Вт 6К Бриз (375x100) (10), LEEK",RUB,1122.00
sku_1eae6a0f,"Свет-к с/д (потолочный) СЛЛ 030 18Вт 6К Шерлиз (260x80) (10),",RUB,769.50
sku_6cd80193,"Свет-к с/д (потолочный) СЛЛ 030 24Вт 6К Шерлиз (325x90) (10),",RUB,1015.50
sku_54792fea,"Свет-к с/д (потолочный) СЛЛ 031 36Вт 6К Мистерия (395x62) (10), LEEK",RUB,1276.50
sku_42174de0,"Свет-к с/д (потолочный) СЛЛ 031 48Вт 6К Мистерия (395x62) (10),",RUB,1495.50
sku_8bc5fc59,"Свет-к с/д (потолочный) СЛЛ 033 18Вт 6К Кассиопея  (260х80) (10) LE 061201-026,",RUB,769.50
sku_1522b3d4,"Свет-к с/д (потолочный) СЛЛ 034 12Вт 6K Лилия CN (233x76) (10),",RUB,523.50
sku_4675bafd,"Свет-к с/д (потолочный) СЛЛ 034 24Вт 6К Лилия (325x90) (10),",RUB,1015.50
sku_1a490a6a,"Свет-к с/д (потолочный) СЛЛ 034 30Вт 6К Лилия (375*100) (10),",RUB,1246.50
sku_6cac62e4,"Свет-к с/д (потолочный) СЛЛ 035 12Вт 6K Водопад CN (233x76) (10),",RUB,523.50
sku_90e28f39,"Свет-к с/д (потолочный) СЛЛ 035 18Вт 6К Водопад (260х80) (10),",RUB,769.50
sku_320c59d4,"Свет-к с/д (потолочный) СЛЛ 035 24Вт 6К Водопад (325x90) (10),",RUB,1015.50
sku_f304dc9f,"Свет-к с/д (потолочный) СЛЛ 035 30Вт 6К Водопад (375*100) (10),",RUB,1246.50
sku_3fb191e8,"Свет-к с/д (потолочный) СЛЛ 036 12Вт 6К Гранж CN (218x218x65) (10),",RUB,627.00
sku_f1a98f55,"Свет-к с/д (потолочный) СЛЛ 036 18Вт 6К Гранж (272х272x75) (10),",RUB,883.50
sku_d4ea5872,"Свет-к с/д (потолочный) СЛЛ 036 24Вт 6К Гранж (320х320x75) (10),",RUB,1135.50
sku_9f82d10c,"Свет-к с/д (потолочный) СЛЛ 036 30Вт 6К Гранж (365х365x85) (10)LE 061201-131 , LEEK",RUB,1339.50
sku_f4513f0a,"Свет-к с/д (потолочный) СЛЛ 040 12Вт 6К Космос CN (218x218x65) (10),",RUB,627.00
sku_3c7df138,"Свет-к с/д (потолочный) СЛЛ 040 18Вт 6К Космос (272х272x75) (10),",RUB,883.50
sku_c7b44dbf,"Свет-к с/д (потолочный) СЛЛ 040 24Вт 6К Космос (320х320x75) (10), LEEK",RUB,1135.50
sku_163dc924,"Свет-к с/д (потолочный) СЛЛ 040 30Вт 6К Космос (365х365x85) (10), LEEK",RUB,1339.50
sku_82bfd74a,"Свет-к с/д (потолочный) СЛЛ 041 20Вт 6К Бриллиант (260х80) (10),",RUB,583.50
sku_b1451d58,"Свет-к с/д (потолочный) СЛЛ 041 24Вт 6К Бриллиант (325x90) (10),",RUB,1015.50
sku_a52041bc,"Свет-к с/д (потолочный) СЛЛ 041 28Вт 6К Бриллиант (325x90) (10),",RUB,873.00
sku_4b0bf66d,"Свет-к с/д (потолочный) СЛЛ 041 30Вт 6К Бриллиант (375x100) (10),",RUB,1246.50
sku_8f596d65,"Свет-к с/д (потолочный) СЛЛ 041 36Вт 6К Бриллиант (375x100) (10),",RUB,1021.50
sku_d081f5f3,"Свет-к с/д (потолочный) СЛЛ 053 18Вт 6К Аврора (260x80) (10),",RUB,769.50
sku_83321842,"Свет-к с/д (потолочный) СЛЛ 053 24Вт 6К Аврора (325x90) (10), LEEK",RUB,1015.50
sku_ba27ad2e,"Свет-к с/д (потолочный) СЛЛ 057 18Вт 6К Оникс (260x80) (10),",RUB,769.50
sku_97e62110,"Свет-к с/д (потолочный) СЛЛ 057 24Вт 6К Оникс (325x90) (10),",RUB,1015.50
sku_d160cad4,"Свет-к с/д (потолочный) СЛЛ 057 30Вт 6К Оникс (375x100) (10),",RUB,1246.50
sku_a8d6041e,"Свет-к с/д (потолочный) СЛЛ 065 18Вт 6К Сияние (260х80) (10), LEEK",RUB,769.50
sku_ad22eabd,"Свет-к с/д (потолочный) СЛЛ 065 24Вт 6К Сияние (325х90) (10), LEEK",RUB,1015.50
sku_679c1135,"Свет-к с/д (потолочный) СЛЛ 066 18Вт 6К Генезис (260х80) (10), LEEK",RUB,769.50
sku_81f77ca1,"Свет-к с/д (потолочный) СЛЛ 066 30Вт 6К Генезис (375х100) (10), LEEK",RUB,1246.50
sku_a9157192,"Свет-к с/д (потолочный) СЛЛ 100 20Вт 6К Марракеш (260x55) (20),",RUB,583.50
sku_f6be0183,"Свет-к с/д (потолочный) СЛЛ 100 28Вт 6К Марракеш (330x55) (20),",RUB,873.00
sku_f96c31a7,"Свет-к с/д (потолочный) СЛЛ 100 36Вт 6К Марракеш (380x55) (20), LEEK",RUB,1021.50
sku_f6266b9a,"Свет-к с/д (потолочный) СЛЛ 100 48Вт 6К Марракеш (380x55) (20),",RUB,1122.00
sku_90fb11be,"Свет-к с/д (потолочный) СЛЛ 101 20Вт 6К Молекула (260x55) (20),",RUB,583.50
sku_c5792476,"Свет-к с/д (потолочный) СЛЛ 101 28Вт 6К Молекула (330x55) (20),",RUB,873.00
sku_e138e466,"Свет-к с/д (потолочный) СЛЛ 101 36Вт 6К Молекула (380x55) (20), LEEK",RUB,1021.50
sku_f39a9aa1,"Свет-к с/д (потолочный) СЛЛ 101 48Вт 6К Молекула (380x55) (20),",RUB,1122.00
sku_d64c875b,"Свет-к с/д (потолочный) СЛЛ 102 20Вт 6К Феникс (260x55) (20),",RUB,583.50
sku_e7b5e9d8,"Свет-к с/д (потолочный) СЛЛ 102 28Вт 6К Феникс (330x55) (20), LEEK",RUB,873.00
sku_49fc3581,"Свет-к с/д (потолочный) СЛЛ 102 36Вт 6К Феникс (380x55) (20), LEEK",RUB,1021.50
